Ticker,Name,,Symbol
UKW,Greencoat UK Wind,.L,UKW.L
GNS,Genus,.L,GNS.L
MNKS,Monks Investment Trust,.L,MNKS.L
HBR,Harbour Energy,.L,HBR.L
PNN,Pennon Group,.L,PNN.L
ATST,Alliance Trust,.L,ATST.L
PHLL,Petershill Partners,.L,PHLL.L
3IN,3i Infrastructure Ltd,.L,3IN.L
FEVR,Fevertree Drinks,.L,FEVR.L
EMG,Man Group,.L,EMG.L
BYG,Big Yellow Group,.L,BYG.L
ROR,Rotork,.L,ROR.L
TATE,Tate & Lyle,.L,TATE.L
TRIG,The Renewables Infrastructure Group Ltd,.L,TRIG.L
HSX,Hiscox Ltd,.L,HSX.L
SAFE,Safestore Holdings,.L,SAFE.L
HSV,Homeserve,.L,HSV.L
DARK,Darktrace,.L,DARK.L
GFTU,Grafton Group,.L,GFTU.L
IWG,IWG,.L,IWG.L
INPP,International Public Partnership Ltd,.L,INPP.L
AUY,Yamana Gold Inc,.L,AUY.L
INVP,Investec,.L,INVP.L
BEZ,Beazley,.L,BEZ.L
DNLM,Dunelm Group,.L,DNLM.L
LMP,Londonmetric Property,.L,LMP.L
THG,THG,.L,THG.L
CCL,Carnival,.L,CCL.L
VTY,Vistry Group,.L,VTY.L
VMUK,Virgin Money UK,.L,VMUK.L
RWS,RWS Holdings,.L,RWS.L
BVIC,Britvic,.L,BVIC.L
HAS,Hays,.L,HAS.L
QLT,Quilter,.L,QLT.L
OSB,OSB Group,.L,OSB.L
RDW,Redrow,.L,RDW.L
DRX,Drax Group,.L,DRX.L
ITM,ITM Power,.L,ITM.L
KNOS,Kainos Group Ltd,.L,KNOS.L
WWH,Worldwide Healthcare Trust,.L,WWH.L
ASC,ASOS,.L,ASC.L
SHB,Shaftesbury,.L,SHB.L
MDC,Mediclinic International,.L,MDC.L
PETS,Pets at Home Group,.L,PETS.L
GRI,Grainger,.L,GRI.L
CSP,Countryside Properties,.L,CSP.L
JET2,Jet2,.L,JET2.L
HVPE,Harbourvest Global Private Equity Ltd,.L,HVPE.L
ULE,Ultra Electronics Holdings,.L,ULE.L
KWS,Keywords Studios,.L,KWS.L
PTEC,Playtech,.L,PTEC.L
CLDN,Caledonia Investments,.L,CLDN.L
VCT,Victrex,.L,VCT.L
PAGE,PageGroup,.L,PAGE.L
MRC,Mercantile Investment Trust,.L,MRC.L
CBG,Close Brothers Group,.L,CBG.L
TEM,Templeton Emerging Markets Investment Trust,.L,TEM.L
DOM,Domino's Pizza Group,.L,DOM.L
ASHM,Ashmore Group,.L,ASHM.L
SVS,Savills,.L,SVS.L
AGR,Assura,.L,AGR.L
FGT,Finsbury Growth & Income Trust,.L,FGT.L
PHP,Primary Health Properties,.L,PHP.L
CWK,Cranswick,.L,CWK.L
SSPG,SSP Group,.L,SSPG.L
SMWH,WH Smith,.L,SMWH.L
IPX,IMPAX Asset Management Group,.L,IPX.L
HGT,HgCapital Trust,.L,HGT.L
SEQI,Sequoia Economic Infrastructure Income Fund Ltd,.L,SEQI.L
SYNT,Synthomer,.L,SYNT.L
CWR,Ceres Power Holdings,.L,CWR.L
